11.18527644,79.10535087,1,,7,Good
Y,X,id,QAQC
26.9844984,-109.5272088,1,Good
29.21160828,-106.8320672,2,Good
23.94182849,-103.343288,3,Good
23.19314264,-106.0806707,4,Good
25.10502445,-111.77096110000001,5,No image
21.57878876,-98.26626209,6,Good
25.22863231,-98.31305496,7,Good
20.40896711,-101.1206269,8,Good
19.62187928,-99.02171185,9,Good
16.58948369,-98.52466516,10,Good
17.50592321,-93.72665364,11,Good
18.97191749,-96.44003558,12,Good
18.56733955,-97.50502791,13,Good
19.21926642,-103.7781588,14,Good
13.63092396,-89.73579401,15,Good
14.09480222,-87.62105491,16,Good
13.39898484,-83.84181147,17,No image
11.16145443,-84.71499407,18,No image
9.933541398,-84.53762885,19,Good
8.432758807,-82.62754192,20,Good
7.887019682000001,-80.58102020000001,21,Good
9.019428365,-78.91651587,22,No image
8.36364707,-75.81120013,23,No image
-0.489126923,-80.19370008,24,No image
1.0421531659999999,-77.62333708,25,Good
1.1515303159999999,-75.63631887,26,Good
7.663108898,-70.83058444,27,Good
9.75423583,-74.20573668,28,Good
7.956600397000001,-68.00572876,29,Good
9.277312144,-65.18087308,30,Good
-10.698407099999999,-62.34780808,31,Good
-2.31844804,-47.27593926,32,Good
-4.247647249,-50.41088798,33,Good
-3.162472694,-52.64152456,34,No image
-4.066784823,-79.46945107,35,Bad
-13.53191844,-73.80242839,36,No image
2.745699885,-60.90090868,37,Good
-14.79795542,-46.61277703,38,Good
-20.88699043,-53.24439931,39,Good
-10.93955701,-38.95626767,40,No image
-7.804608291,-40.64431698,41,Good
-19.13865365,-41.97064144,42,Good
-23.11762701,-50.47117545,43,Good
-25.64970098,-50.41088798,44,Good
-27.88033756,-60.29803392,45,Good
-22.39417731,-60.41860887,46,Good
-34.99425965,-61.80522081,47,Good
-33.36649781,-55.95733570000001,48,Good
-29.62867435,-56.01762318,49,Good
-31.98070449,-63.70928158,50,Good
-27.16109598,-65.00076367,51,Good
-34.68109254,-71.3365088,52,Good
-40.54313709,-72.75761051,53,No image
-47.3229765,-72.78721679,54,Good
-51.70470677,-69.94501337,55,Good
-13.66467558,-64.88366254,56,Good
-11.86288708,-55.64296654,57,Good
22.44700691,-80.40168858,58,Good
18.73221177,-69.80432554,59,No image
22.31183915,-83.65232494,60,Good
14.50164769,-15.84264015,61,Good
12.53746758,-6.195049599,62,Good
12.19084756,0.39073077700000003,63,Good
11.95976754,10.73156137,64,Good
6.644927238999999,-9.661249796,65,Good
10.63105747,-13.64738002,66,Good
5.77837719,-4.866339523,67,No image
6.876007252000001,1.315050829,68,Good
6.356077223,5.821111086,69,No image
11.95976754,20.37915192,70,Good
13.51955763,33.26186265,71,Good
11.90199754,39.327713,72,Good
9.302347391,47.58882347,73,Good
8.897957368,38.23008293,74,Good
1.3300869359999998,43.89154326,75,Good
1.272316933,38.69224296,76,Good
0.86792691,36.61252284,77,Good
0.9834669159999999,32.51085261,78,Good
2.4854870019999997,27.71594233,79,Good
7.049317262000001,21.59232199,80,Good
8.955727371,16.27748168,81,Good
-0.9229431920000001,15.52647164,82,Good
3.6986570710000004,11.48257141,83,Good
-4.1580633769999995,15.00654161,84,Good
-6.2955534989999995,35.68820279,85,Okay
-2.647239849,33.47585428,86,Good
-4.21583338,32.62639261,87,Good
-0.691863179,35.51489278,88,Good
-3.349283331,39.78987302,89,Good
1.907786969,33.60848267,90,Good
-10.62830375,35.63043279,91,Good
-13.51680391,33.95510269,92,Good
-14.49889397,34.93719275,93,Good
-16.23199407,37.42130289,94,Good
-16.34753407,31.06660253,95,Good
-14.03673394,29.21796242,96,Good
-10.05060371,30.604442499999998,97,Good
-2.1361132609999998,30.25782248,98,Good
-3.2337433239999998,30.14228247,99,Good
-14.67220398,14.54438158,100,Good
-18.5427942,13.90891155,101,Bad
-19.00495422,18.2994318,102,Good
-25.18634458,28.9291124,103,Good
-29.75017484,28.29364237,104,Good
-33.38968504,18.64605182,105,Good
-31.65658494,28.29364237,106,Good
-26.28397464,24.88521217,107,Good
-20.68028432,29.44904243,108,Good
8.267528594,8.459270952999999,109,Good
-19.04701165,46.43484349,110,Good
-16.81725326,46.29548359,111,Good
-20.57997054,48.10716228,112,
-22.32196928,44.69284475,113,
34.24130662,-5.562213957999999,114,
33.57889684,-1.5877552369999999,115,
31.37086421,-9.536672678,116,
30.92925769,31.09112758,117,
36.50945358,5.682739431,118,
5.18931769,7.518173844,119,No image
-17.43708097,-62.53663739,120,Good
-32.59386725,-59.49077603,121,Good
-4.16582791,-44.11642823,122,Good
25.76588352,-106.11665500000001,123,Good
23.63727045,-99.45725365,124,
10.91955989,-69.31224851,125,No image
-22.42479367,16.95064627,126,
8.304407099,30.29349861,127,Good
-6.384637792,23.64,128,Good
0.631688485,24.14701875,129,
-6.445031844,-45.09956998,130,
-13.79086479,-51.37241609,131,
16.62128078,-89.95657259,132,Good
25.33755517,-103.4490619,133,Good
7.365461,36.589576,134,
